timestamp,CPU_UTIL_USER,CPU_UTIL_SYS,MEM_UTIL,NET_UTIL,STORAGE_UTIL,CPU TIME,WALL CLOCK TIME,CONTEXT SWITCHES,TSC,CYCLES,INSTRUCTIONS,REFERENCE CYCLES,L1 CACHE MISSES,L1 CACHE HITS,L2 CACHE MISSES,L2 CACHE HITS,LL CACHE MISSES,LL CACHE ACCESSES,MEM ACCESSES RD,MEM ACCESSES WR,BRANCH MISSES,BRANCHES,ITLB WALKS,DTLB LOAD WALKS,DTLB STORE WALKS,DTLB ACCESSES,CPU UTILIZATION,FREQUENCY,CPI,L1 CACHE MPKI,L1 CACHE MISS RATE,L2 CACHE MPKI,L2 CACHE MISS RATE,LL CACHE MPKI,LL CACHE MISS RATE,MEM BANDWITH RD,MEM BANDWITH WR,MEM BANDWITH,BRANCH MPKI,BRANCH MISS RATE,ITLB MPKI,DTLB MPKI,DTLB WALK RATE
20.0,0.03,0.06,3.06,0.0,0.0,64244.91,1004000127.0,1803.0,185873878624.0,464391611.0,290973860.0,499404012.0,1856502.0,76069365.0,519402.0,1337466.0,601644.0,3449685.0,385528.0,295043.0,418009.0,56221810.0,111612.0,52081.0,5692.0,115392147.0,0.0026867896430473,462541386.7104023,1.595990825430161,6.38030508994863,0.0238239505246698,1.785046945454138,0.2797193984709737,2.067690891546065,0.1744054891968397,24575486.931188405,18807519.53331177,43383006.464500174,1.4365860905855945,0.007434997201264,0.383580848121546,0.1985504814762398,0.0005006666528182
21.0,0.09,0.09,3.06,0.0,0.0,64254.94,1003999018.0,2255.0,185902909186.0,583586214.0,531078455.0,651419228.0,2683205.0,130935890.0,649912.0,2033512.0,953572.0,4703859.0,632736.0,380220.0,654423.0,113105404.0,120160.0,60983.0,8805.0,227736175.0,0.0035040830229732,581261737.847636,1.0988700605450092,5.0523702754991255,0.0200809996505364,1.2237589265412772,0.2421950463288693,1.795538853105988,0.2027212125193378,40333808.37430261,24237155.180165723,64570963.55446833,1.232252963453394,0.0057859569645319,0.2262565895278128,0.1314080798099783,0.0003064423120305
22.0,0.03,0.02,3.06,0.0,0.0,64253.47,1003999881.0,1879.0,185898773264.0,438451116.0,298230729.0,482016424.0,2018444.0,73829709.0,575142.0,1443626.0,681424.0,4103655.0,474616.0,319592.0,679440.0,60075833.0,130112.0,62970.0,10307.0,126032830.0,0.0025928972824122,436704350.5655555,1.470174175109903,6.76806178480689,0.0266116433975656,1.928513543619444,0.2848975216567728,2.2848886239351947,0.1660529454839649,30254409.96043305,20372400.82103157,50626810.78146463,2.278236056620443,0.0113097058512696,0.4362796564803354,0.2457057334289653,0.0005814120019363
23.0,0.19,0.28,3.06,0.0,1.6,64259.37,1003999269.0,11383.0,185915802796.0,1049959029.0,1010155965.0,1201643188.0,5238121.0,250155231.0,1165609.0,4073102.0,5045054.0,13920712.0,3490647.0,1729956.0,1063449.0,206859899.0,278684.0,199907.0,255975.0,445286716.0,0.0064633730426806,1045776686.7158943,1.0394028896319985,5.185457673360371,0.0205100131189006,1.153890132203496,0.2224991987532811,4.99433174163358,0.3624135029874908,222511524.5576937,110276159.971985,332787684.5296787,1.0527572343741989,0.0051409142378049,0.2758821505350414,0.4512986269402468,0.0010237942961675
24.0,0.44,0.05,3.06,0.0,0.4,64564.07,1004006457.0,2252.0,186797487372.0,2028460194.0,875279592.0,1875429072.0,18098449.0,218285473.0,10895875.0,7203255.0,24997031.0,79061149.0,24634639.0,5414149.0,4782242.0,200644471.0,154448.0,2428841.0,232136.0,329683737.0,0.0100399052384744,2020365685.755744,2.317499702426513,20.67733460875665,0.0765637901548989,12.44845087168444,0.6020109806382958,28.55890989401704,0.3161733837184683,1570325454.590179,345122816.2768678,1915448270.8670468,5.463673600652167,0.0238344070791763,0.1764556164814591,3.0401451425592017,0.0080713019823601
25.0,0.69,0.16,2.99,0.0,0.0,64949.07,1018987001.0,3179.0,187911157630.0,2264692507.0,3246944392.0,2069553100.0,16411809.0,781598665.0,5704997.0,10714939.0,11283991.0,50661979.0,10748778.0,4423863.0,7962698.0,676021573.0,302827.0,1205529.0,514302.0,1096068546.0,0.0110134657574457,2222494010.9908237,0.6974842293511012,5.05453959742468,0.0205659067577601,1.7570356345049472,0.347443315248001,3.475264629662928,0.2227309556936179,675103599.2852671,277851662.2117342,952955261.4970012,2.4523666064682024,0.0117787631608614,0.0932652252210175,0.5296767644796795,0.0015690907345862
26.0,2.15,4.28,3.02,0.0,0.0,64460.58,1007965952.0,2317124.0,186497883012.0,13953275858.0,15909342902.0,12348156848.0,65328144.0,4471955397.0,4774312.0,60564487.0,9906420.0,53091668.0,7221091.0,4705168.0,39394473.0,3427038837.0,986446.0,916784.0,399764.0,7292653003.0,0.066210707856697,13843003159.297192,0.877049161863618,4.106275438427281,0.0143980739598217,0.3000948580597763,0.0730700911720155,0.6226793941787905,0.1865908601703755,458497455.2791244,298750916.5388952,757248371.8180195,2.476184795479368,0.0114951930438248,0.0620041950240441,0.0827531349415125,0.0001805307340769
27.0,1.63,0.33,3.03,0.0,0.0,64281.46,1004395865.0,12580.0,185979596530.0,4631673026.0,7897968456.0,4070124944.0,45917967.0,2261036780.0,5366187.0,40555647.0,11494985.0,61508242.0,8769059.0,3995886.0,19240491.0,1677546604.0,1404936.0,1245479.0,516346.0,3499963207.0,0.0218847928479265,4611401925.673997,0.5864385318583247,5.813895972845603,0.0199041472572066,0.6794389000026161,0.1168548059295715,1.455435668556942,0.186885279537009,558763526.9685225,254617440.1066456,813380967.0751681,2.4361316593235074,0.0114694226402547,0.1778857446477499,0.2230731877210222,0.0005033838631435
28.0,1.42,0.17,3.04,0.0,0.0,64271.25,1004395421.0,1897.0,185950159296.0,3805033204.0,6573274206.0,3343642232.0,46498153.0,1880069919.0,4907241.0,41596311.0,9924150.0,50827365.0,8681179.0,2986078.0,18400492.0,1393772462.0,1120512.0,1041728.0,231302.0,2965482884.0,0.0179813894468221,3788381671.644439,0.5788642135949258,7.073819156601909,0.024135224535165,0.7465443926743135,0.1055240038438354,1.5097727082404937,0.1952521048454902,553164067.0432726,190272663.53895497,743436730.5822276,2.799288668530558,0.0132019339610112,0.1704648193402933,0.1936675635466408,0.0004292825316472
29.0,1.55,0.13,3.05,0.0,0.4,64438.44,1004204468.0,2418.0,186434084688.0,3834085589.0,6782698462.0,3369162928.0,38997256.0,1993331127.0,5711122.0,33292731.0,10215643.0,54353967.0,9355415.0,2674349.0,19455521.0,1438796807.0,969252.0,1361739.0,307278.0,3085182250.0,0.0180716038788633,3818032792.301817,0.5652743683771918,5.749519342262041,0.0191884620252336,0.8420132535740021,0.1464245596454278,1.5061325602535682,0.187946594588027,596239689.3059831,170441719.24556702,766681408.5515501,2.86840423601305,0.013522076852927,0.1429006472026177,0.2460697625510924,0.000540978413836
